size,naive,better,blas
152,13396409,11926574,1866603
152,13395939,11992407,1814361
152,13450978,11963364,1816829
152,13322050,11860017,1814381
152,13604449,11977034,1819060
152,14691988,12299034,1817472
152,13531970,12029093,1812020
152,13483277,12008923,1829310
153,13932585,12136148,1836455
153,13812494,12171599,1835714
153,13799515,12131542,1835850
153,14378854,12171220,1836586
153,13724085,12828066,2277003
153,14529073,12088341,1888607
153,13780946,12136076,1855913
153,13828286,12211253,1834849
153,13837726,12654646,1840546
153,13773566,12183888,1839350
154,14228904,12311032,1920999
154,14213115,12324791,2613341
154,23909089,16484707,1991104
154,16593970,13277922,1972234
154,14223880,12426453,1874832
154,14433888,12403504,1874608
154,14577344,12471932,1870616
154,14141272,12385780,1872224
154,14145153,12360473,1918953
154,14464226,12491882,1929088
155,15026230,12697145,1903005
155,15220856,12816313,1902403
155,15048152,12702781,2761288
155,16205723,12787122,1904121
155,15675865,12762678,1906406
155,15100617,12752033,1901695
155,15173700,12772455,1930163
155,15201898,12698967,1903412
155,15105430,12667075,1900902
155,15585874,12930155,1909739
156,16249440,13013588,1956841
156,15455787,12911462,1955791
156,15351322,12971853,1953854
156,15394539,12922376,2003526
156,15253083,12867142,2011188
156,15277480,12848527,2008898
156,15273175,12978846,2009013
156,15329645,13133778,1956574
156,15434004,12975221,1955216
156,15438509,12949601,1958740
157,15877158,13170286,1976838
157,15686799,13197494,1984058
157,15743067,13187447,1982460
157,15584444,15818683,3088005
157,24970948,14200178,2104504
157,16800745,14009037,1980992
157,16959154,13309014,1978214
157,15675646,13173900,1978176
157,15690877,13147691,1982048
157,16184992,13204826,1982413
158,16073226,13477275,2021224
158,16616669,13375353,2125257
158,16033954,13636846,2074733
158,16076285,13321215,2073723
158,16138799,13376813,2072252
158,15852458,13527035,2026914
158,15915105,13501002,2022136
158,16192685,13521078,2022130
158,15947533,13382205,2026862
158,15906977,13468047,2070074
159,16059005,13631476,2057141
159,16133150,13578722,2054577
159,15910977,13601352,2054794
159,16150900,14023212,2059580
159,15744178,13608154,2052851
159,16106518,13573082,2059908
159,15740453,13714651,2057436
159,15850029,13702309,2067674
159,15927347,13719684,2055747
159,15859092,13677033,2058872
160,16156144,13895981,2100285
160,16227008,13852264,2166938
160,16148186,13898944,2116282
160,16262023,13850830,2109664
160,26990724,15985120,2335573
160,18715096,14722731,2269204
160,16257473,13927677,2196120
160,16189649,13893729,2113801
160,16672756,13865675,2113210
160,16268391,13857245,2110469
161,16505546,14210327,2132715
161,18110113,14609382,2130910
161,16537068,14286787,2149656
161,16565150,14163851,2132361
161,16674795,14122630,2136255
161,16538010,14166305,2128622
161,16549214,14105162,2183609
161,16601991,14218692,2129222
161,16478499,14175164,2134006
161,16651569,14151518,2283226
162,17305063,14738477,2221604
162,16958253,14460949,2410178
162,17023239,14425559,2168406
162,16939722,14401237,2171119
162,17030659,14388580,2171806
162,16961154,14512329,2168044
162,17049153,14400737,2217248
162,17104545,14444582,2166102
162,16867754,14450803,2171075
162,16891155,14456683,2167288
163,17269132,14720294,2220985
163,17368150,14661758,2214936
163,17334136,14724830,6524513
163,24379695,15784112,2492688
163,18399856,14977795,2207530
163,17826929,14640253,2218252
163,17241485,14742686,2211154
163,17313302,14589604,2261054
163,17262770,15559658,2213918
163,17251394,14782167,2204391
